/tmp/tmp.NNqRKEiWiP/cmake-build-debug-remote-host/sim/dmc_sim -c /tmp/tmp.NNqRKEiWiP/sim/111_test/dmc_sim_test.conf
[global]
server_groups = 1
client_groups = 3
server_random_selection = 1
server_soft_limit = 1
anticipation_timeout = 0.000

[client.0]
client_count = 1
client_wait = 0
client_total_ops = 600000
client_server_select_range = 10
client_iops_goal = 7000
client_outstanding_ops = 5
client_reservation = 0.0
client_limit = 7000.0
client_weight = 1.0

[client.1]
client_count = 1
client_wait = 0
client_total_ops = 600000
client_server_select_range = 10
client_iops_goal = 3000
client_outstanding_ops = 100
client_reservation = 1000.0
client_limit = 0.0
client_weight = 1.0

[client.2]
client_count = 1
client_wait = 0
client_total_ops = 900000
client_server_select_range = 20
client_iops_goal = 6000
client_outstanding_ops = 5
client_reservation = 0.0
client_limit = 0.0
client_weight = 1.0

[server.0]
server_count = 1
server_iops = 8000
server_threads = 1

simulation started
simulation completed in 524172 millisecs
==== Client Data ====
     client:       0       1       2  total
        t_0: 1683.50 1684.00 1683.50 5051.00
        t_1: 1683.00 1683.00 1683.00 5049.00
        t_2: 1683.00 1682.50 1682.50 5048.00
        t_3: 1671.00 1671.50 1671.50 5014.00
        t_4: 1670.00 1671.00 1670.00 5011.00
        t_5: 1678.00 1677.50 1677.50 5033.00
        t_6: 1681.00 1681.00 1682.00 5044.00
   prop_ops:  600000  349613  900000 1849613
total time to track responses: 2566048328 nanoseconds;
    count: 2100000;
    average: 1221.93 nanoseconds per request/response
total time to get request parameters: 3234135499 nanoseconds;
    count: 2100000;
    average: 1540.06 nanoseconds per request/response

client timing for QOS algorithm: 2761.99 nanoseconds per request/response
client 0's 95th latency: 1487, 24547, 25851
client 0's 99th latency: 3445, 39336, 40628
client 0's max latency: 63791, 658827, 662129
client 0's average latency: 1081, 30744573453088, 30744573454169

client 1's 95th latency: 3562, 34002, 35399
client 1's 99th latency: 3805, 41178, 42872
client 1's max latency: 116206, 790845, 792196
client 1's average latency: 1447, 30744573455677, 941

client 2's 95th latency: 2095, 25677, 27360
client 2's 99th latency: 3686, 38884, 40375
client 2's max latency: 78390, 819220, 820210
client 2's average latency: 1165, 857, 2022


==== Server Data ====
     server:       0   total
    res_ops:  250387  250387
   prop_ops: 1849613 1849613

 k-way heap: 2

total time to add requests: 36977784575 nanoseconds;
    count: 2100000;
    average: 17608.47 nanoseconds per request/response
total time to note requests complete: 6825566106 nanoseconds;
    count: 2100000;
    average: 3250.27 nanoseconds per request/response

server timing for QOS algorithm: 20858.74 nanoseconds per request/response

Process finished with exit code 0
